# Ra        |Nu        |Nuv       |sigma     |res       |fname           
 3.162e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 3.236e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 3.311e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 3.388e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 3.467e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 3.548e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 3.631e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 3.715e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 3.802e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 3.890e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 3.981e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 4.074e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 4.169e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 4.266e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 4.365e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 4.467e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 4.571e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 4.677e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 4.786e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 4.898e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 5.012e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 5.129e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 5.248e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 5.370e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 5.495e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 5.623e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 5.754e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 5.888e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 6.026e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 6.166e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 6.310e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 6.457e+03      0.000      0.000   0.00e+00   0.00e+00              b''
 6.607e+03      4.294      1.175  -1.27e-01   1.17e-08  b'Ra6.607e+03_'
 6.761e+03      4.300      1.192  -1.26e-01   7.19e-09  b'Ra6.761e+03_'
 6.918e+03      4.305      1.208  -1.24e-01   5.19e-09  b'Ra6.918e+03_'
 7.079e+03      4.311      1.224  -1.22e-01   5.87e-09  b'Ra7.079e+03_'
 7.244e+03      4.316      1.239  -1.20e-01   4.66e-09  b'Ra7.244e+03_'
 7.413e+03      4.321      1.255  -1.19e-01   5.67e-09  b'Ra7.413e+03_'
 7.586e+03      4.326      1.270  -1.17e-01   2.24e-08  b'Ra7.586e+03_'
 7.762e+03      4.331      1.285  -1.15e-01   1.02e-08  b'Ra7.762e+03_'
 7.943e+03      4.336      1.299  -1.14e-01   1.23e-08  b'Ra7.943e+03_'
 8.128e+03      4.340      1.313  -1.12e-01   4.25e-09  b'Ra8.128e+03_'
 8.318e+03      4.344      1.327  -1.11e-01   5.50e-09  b'Ra8.318e+03_'
 8.511e+03      4.349      1.341  -1.09e-01   3.87e-09  b'Ra8.511e+03_'
 8.710e+03      4.353      1.355  -1.08e-01   5.11e-09  b'Ra8.710e+03_'
 8.913e+03      4.357      1.368  -1.06e-01   2.90e-08  b'Ra8.913e+03_'
 9.120e+03      4.361      1.381  -1.05e-01   1.04e-08  b'Ra9.120e+03_'
 9.333e+03      4.364      1.394  -1.03e-01   3.05e-08  b'Ra9.333e+03_'
 9.550e+03      4.368      1.407  -1.02e-01   5.45e-09  b'Ra9.550e+03_'
 9.772e+03      4.372      1.419  -1.01e-01   5.12e-09  b'Ra9.772e+03_'
 1.000e+04      4.375      1.432  -9.93e-02   4.69e-09  b'Ra1.000e+04_'
 1.023e+04      4.379      1.444  -9.81e-02   3.57e-09  b'Ra1.023e+04_'
 1.047e+04      4.382      1.456  -9.68e-02   5.22e-09  b'Ra1.047e+04_'
 1.072e+04      4.385      1.468  -9.55e-02   4.16e-09  b'Ra1.072e+04_'
 1.096e+04      4.388      1.479  -9.43e-02   1.03e-08  b'Ra1.096e+04_'
 1.122e+04      4.392      1.491  -9.31e-02   7.80e-09  b'Ra1.122e+04_'
 1.148e+04      4.395      1.502  -9.19e-02   5.68e-09  b'Ra1.148e+04_'
 1.175e+04      4.398      1.514  -9.07e-02   5.79e-09  b'Ra1.175e+04_'
 1.202e+04      4.401      1.525  -8.96e-02   3.39e-09  b'Ra1.202e+04_'
 1.230e+04      4.404      1.536  -8.85e-02   4.81e-09  b'Ra1.230e+04_'
 1.259e+04      4.407      1.547  -8.73e-02   7.11e-09  b'Ra1.259e+04_'
 1.288e+04      4.409      1.558  -8.63e-02   4.76e-09  b'Ra1.288e+04_'
 1.318e+04      4.412      1.569  -8.52e-02   7.88e-09  b'Ra1.318e+04_'
 1.349e+04      4.415      1.579  -8.41e-02   5.53e-09  b'Ra1.349e+04_'
 1.380e+04      4.418      1.590  -8.30e-02   4.71e-09  b'Ra1.380e+04_'
 1.413e+04      4.421      1.601  -8.20e-02   4.24e-09  b'Ra1.413e+04_'
 1.445e+04      4.424      1.611  -8.10e-02   4.52e-09  b'Ra1.445e+04_'
 1.479e+04      4.426      1.621  -8.00e-02   4.76e-09  b'Ra1.479e+04_'
 1.514e+04      4.429      1.632  -7.89e-02   6.51e-09  b'Ra1.514e+04_'
 1.549e+04      4.432      1.642  -7.80e-02   5.33e-09  b'Ra1.549e+04_'
 1.585e+04      4.435      1.652  -7.70e-02   6.24e-09  b'Ra1.585e+04_'
 1.622e+04      4.438      1.662  -7.60e-02   4.40e-09  b'Ra1.622e+04_'
 1.660e+04      4.441      1.672  -7.51e-02   5.08e-09  b'Ra1.660e+04_'
 1.698e+04      4.443      1.682  -7.41e-02   4.56e-09  b'Ra1.698e+04_'
 1.738e+04      4.446      1.692  -7.32e-02   4.94e-09  b'Ra1.738e+04_'
 1.778e+04      4.449      1.702  -7.23e-02   4.85e-09  b'Ra1.778e+04_'
 1.820e+04      4.452      1.712  -7.14e-02   4.67e-09  b'Ra1.820e+04_'
 1.862e+04      4.455      1.722  -7.05e-02   3.99e-09  b'Ra1.862e+04_'
 1.905e+04      4.458      1.732  -6.96e-02   4.75e-09  b'Ra1.905e+04_'
 1.950e+04      4.461      1.742  -6.87e-02   4.61e-09  b'Ra1.950e+04_'
 1.995e+04      4.465      1.752  -6.79e-02   4.47e-09  b'Ra1.995e+04_'
 2.042e+04      4.468      1.762  -6.70e-02   4.50e-09  b'Ra2.042e+04_'
 2.089e+04      4.471      1.772  -6.62e-02   4.10e-09  b'Ra2.089e+04_'
 2.138e+04      4.475      1.782  -6.53e-02   4.30e-09  b'Ra2.138e+04_'
 2.188e+04      4.478      1.792  -6.45e-02   3.87e-09  b'Ra2.188e+04_'
 2.239e+04      4.481      1.802  -6.37e-02   4.39e-09  b'Ra2.239e+04_'
 2.291e+04      4.485      1.812  -6.29e-02   4.51e-09  b'Ra2.291e+04_'
 2.344e+04      4.489      1.822  -6.21e-02   5.06e-09  b'Ra2.344e+04_'
 2.399e+04      4.492      1.832  -6.13e-02   5.09e-09  b'Ra2.399e+04_'
 2.455e+04      4.496      1.842  -6.05e-02   2.93e-09  b'Ra2.455e+04_'
 2.512e+04      4.500      1.852  -5.97e-02   4.14e-09  b'Ra2.512e+04_'
 2.570e+04      4.504      1.862  -5.90e-02   3.64e-09  b'Ra2.570e+04_'
 2.630e+04      4.508      1.872  -5.82e-02   4.84e-09  b'Ra2.630e+04_'
 2.692e+04      4.512      1.882  -5.75e-02   3.96e-09  b'Ra2.692e+04_'
